pool,window_id,window_start_ts,window_seconds,n_events,sigma_per_sqrt_s,dt_seconds,w_ticks,n_samples,pin_empirical_mean,pin_empirical_sd,pin_gaussian,delta_empirical_minus_gaussian
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,300,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,300,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,600,200,1500,0.999956,0.001721,0.999998,-0.000043
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,600,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,1800,200,1500,0.998100,0.019358,0.997349,0.000751
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,1800,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,1800,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,3600,200,1500,0.992060,0.040433,0.976263,0.015797
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,3600,500,1500,1.000000,0.000000,0.999999,0.000001
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,3600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,7200,200,1500,0.960101,0.103558,0.912077,0.048024
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,7200,500,1500,1.000000,0.000000,0.999708,0.000292
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,7200,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,21600,200,1500,0.844900,0.236641,0.723456,0.121444
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,21600,500,1500,0.989610,0.037456,0.978511,0.011099
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,21600,1000,1500,1.000000,0.000000,0.999958,0.000042
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,43200,200,1500,0.737860,0.274785,0.584012,0.153848
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,43200,500,1500,0.944130,0.106923,0.917255,0.026875
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,43200,1000,1500,1.000000,0.000000,0.997763,0.002237
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,2,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,2,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,2,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,10,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,10,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,10,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,30,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,30,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,30,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,60,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,60,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,60,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,120,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,120,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,120,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,300,200,1500,0.999809,0.004244,1.000000,-0.000191
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,300,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,300,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,600,200,1500,0.997427,0.030292,0.999921,-0.002494
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,600,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,1800,200,1500,0.980753,0.094615,0.987497,-0.006744
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,4,1739122155,86400,15360,1.194829e-04,1800,500,1500,0.999739,0.004642,1.000000,-0.000261
